question_id,strategy,use_knowledge,avg_score,max_score,unique_reports,num_chunks,faithfulness,relevancy,answer
Q2,md_recursive,False,0.0792,0.106,3,10,1.0,0.8577,"**Evidence**
- The report states that “the R4 and L4 jumpseats were ejected from the airplane and found still attached to large pieces of galley structure … down the runway”【NTSB/AAR-14/01】.  
- It fu..."
Q2,section,False,0.0824,0.1181,3,10,1.0,0.8304,"**Evidence**
- The report states that “Jumpseat M4B was ejected from the airplane… while jumpseat M4A remained in the airplane… both flight attendants were pulled from their jumpseats during the airpl..."
Q2,md_recursive,True,0.1052,0.1648,3,10,1.0,0.8669,"**Evidence**
- The report states that “The R4 and L4 jumpseats were ejected from the airplane and found still attached to large pieces of galley structure about 1,100 and 1,300 ft … down the runway fr..."
Q2,section,True,0.117,0.1597,3,10,1.0,0.8682,"**Evidence**
- The report describes that “Jumpseat M4B was ejected from the airplane… Jumpseat M4A remained in the airplane… both flight attendants were pulled from their jumpseats during the airplane..."
Q3,md_recursive,False,0.0569,0.0625,4,10,1.0,0.8625,"**Evidence**
- Video footage of the runway showed the passenger’s path was “partially hidden … by the **smoke plume**” as ARFF personnel moved across the area【NTSB: AAR-14/01】.  

**Answer**
According..."
Q3,section,False,0.0806,0.125,3,10,0.5,0.8445,"**Evidence**
- The NTSB report notes that the passenger’s location was identified and firefighters were in her immediate vicinity “before she had been covered by **foam** or rolled over by a vehicle.”..."
Q3,md_recursive,True,0.0658,0.0829,3,10,0.5,0.8976,"- Evidence:
    - The report notes that “the airplane was enveloped in a **cloud of dust** between 1128:02 and 1128:28, it was not possible to determine from the video footage exactly when the airplan..."
Q3,section,True,0.1103,0.1875,3,10,1.0,0.8698,"**Evidence:**
- The excerpts from NTSB/AAR‑14/01 provided include details on the accident sequence, injuries, ARFF staffing, medical‑bus integration, and ARFF procedural observations. None of the quot..."
Q8,md_recursive,False,0.0818,0.1144,3,10,0.5,0.9065,"**Evidence**
- The report states that tire marks from the right main landing gear “continued until the edge of the gravel downslope … The tire marks were approximately **82 feet to the left of the cen..."
Q8,section,False,0.0732,0.125,3,10,1.0,0.9093,"- Evidence:
    - The left‑main‑gear tire marks “were approximately **98 feet to the left of the centerline** at the end of the runway surface”【NTSB: AAR-01/02】.  

- Answer:
    - According to NTSB A..."
Q8,md_recursive,True,0.0936,0.125,3,10,0.6667,0.8312,"**Evidence**
- The tire marks from the right main landing gear were “approximately 82 feet to the left of the centerline at the end of the runway surface”【NTSB: AAR-01/02】.  
- In a separate observati..."
Q8,section,True,0.1,0.1507,3,10,1.0,0.8749,"- Evidence:
    - The report states that “the tire marks were approximately **98 feet to the left of the centerline** at the end of the runway surface” for the main landing‑gear tracks【NTSB: AAR-01/02..."
Q10,md_recursive,False,0.064,0.1181,5,10,1.0,0.8188,"- Evidence:
  - The ARFF fire crew chief reported that five ARFF vehicles were engaged in fire‑suppression “within 3 minutes of the alarm.” [NTSB: AAR-00/02]

- Answer:
  - According to the ARFF fire ..."
Q10,section,False,0.0647,0.1181,5,10,1.0,0.8125,"- Evidence:
  - The ARFF fire crew chief reported that “five ARFF vehicles were engaged in fire suppression within 3 minutes of the alarm.” [NTSB: AAR0002]

- Answer:
  - According to the ARFF fire cr..."
Q10,md_recursive,True,0.0791,0.1181,3,10,1.0,0.8507,"**Evidence**
- The ARFF fire crew chief reported that “five ARFF vehicles were engaged in fire suppression within 3 minutes of the alarm.” [NTSB: AAR-00/02]

**Answer**
- According to the ARFF fire cr..."
Q10,section,True,0.0878,0.1181,3,10,1.0,0.8586,"- Evidence:
  - The ARFF fire crew chief reported that “five ARFF vehicles were engaged in fire suppression within **3 minutes** of the alarm”【NTSB: AAR0002】.  

- Answer:
  - According to the ARFF fi..."
G1,md_recursive,False,0.0574,0.0678,6,10,1.0,0.9146,"**Evidence**

- **Inadequate or undocumented maintenance** – The Cessna 402C right‑engine failure was traced to maintenance performed by Air Sunshine that was undocumented and inadequate. [NTSB: AAR04..."
G1,section,False,0.0597,0.0655,6,10,1.0,0.9143,"**Evidence**

- **Mechanical/Component failures**  
  - *Core‑lock condition* – the GE CF34 engines suffered “core lock” that stopped core rotation, leading to a double‑engine failure after high‑power..."
G1,md_recursive,True,0.0598,0.0678,8,10,1.0,0.9009,"**Evidence**
- The right‑engine failure of a Cessna 402C was traced to **inadequate, undocumented maintenance** performed by the operator’s maintenance personnel【NTSB/AAR-04/03】.  
- In a McDonnell Do..."
G1,section,True,0.0612,0.0655,8,10,1.0,0.9212,"**Evidence**

- **Human‑factor causes**
  - Pilots displayed “unprofessional behavior, deviation from standard operating procedures, and poor airmanship,” leading to an unrecoverable in‑flight emergen..."
G2,md_recursive,False,0.0602,0.1023,9,10,1.0,0.9204,"**Evidence**

- **Inexperience and decision‑making** – In the Hawaii air‑tour accidents, pilots with very little local experience (≤ 2 months) were involved in four of eight weather‑related crashes. T..."
G2,section,False,0.0656,0.0988,8,10,0.9474,0.9396,"**Evidence**

- **Instrument‑flight experience** – In the Cessna 421 accident (AAR‑11/04), fellow pilots praised the accident pilot’s “stick‑and‑rudder” ability but the fixed‑wing instructor expressed..."
G2,md_recursive,True,0.0627,0.1023,9,10,1.0,0.9325,"**Evidence**

- **Human factors – experience and decision‑making**  
  - The safety officer for Island Express described the accident pilot as “very professional with extensive experience…very knowled..."
G2,section,True,0.0726,0.0988,10,10,1.0,0.9081,"**Evidence**

- **Human factors – experience & proficiency**  
  - The accident pilot lacked a helicopter instrument rating and specific training for inadvertent IMC, leaving him unprepared to react t..."
