METRIC,VALUE,STATUS,INTERPRETATION
Total Records,7462,Good,"Sufficient volume for comprehensive RAG corpus"
rep_text Non-Null Percentage,100.0%,Excellent,"Perfect data completeness - no missing content"
rep_text Unique Percentage,99.8%,"Excellent","Minimal duplication (15 duplicates out of 7462)"
rep_text Minimum Length,5 chars,Acceptable,"Minimum viable content length"
rep_text Maximum Length,95227 chars,Large,"Requires semantic chunking for optimal embedding"
rep_text Mean Length,10502 chars,Substantial,"Documents are comprehensive and content-rich"
rep_text Median Length,8251 chars,Moderate,"Typical document is substantial for RAG"
Encoding Issues Detected,0,Clean,"No mojibake or character corruption"
CSV Parsing Errors,0,None,"File parses correctly despite semicolons in text"
EventDate Completeness,100.0%,Complete,"Temporal filtering fully supported"
State Completeness,99.7%,Complete,"Geographic filtering well-supported"
Make Completeness,100.0%,Complete,"Aircraft manufacturer filtering available"
Model Completeness,100.0%,Complete,"Aircraft model filtering available"
ProbableCause Mean Length,161 chars,Good,"Suitable as chunk headers or keywords"
Findings Mean Length,307 chars,Good,"Excellent for chunk context enrichment"
Unique NtsbNo Values,7462,All Unique,"Every document is a unique accident report"
Documents Exceeding 2000 Chars,7446 (99.8%),Expected,"Semantic chunking required for optimal performance"
Estimated Chunks at 3000 chars target,26121,Sufficient,"Abundant chunks for comprehensive RAG"
Estimated Chunks at 2000 chars target,39182,Abundant,"Highly granular coverage possible"
Minimum Chunk Baseline,7462,Guaranteed,"Each document = minimum 1 chunk"
Exceeds 500+ Chunk Requirement,YES (30-78x),PASS,"Dataset far exceeds project requirements"
Recommended Implementation,"Semantic chunking at 1500-2000 chars, 15000-26000 final chunks",Optimal,"Balances coherence with granularity"
Overall RAG Suitability Rating,EXCELLENT,APPROVED,"Dataset highly suitable for RAG implementation"
